log10_EI,xM_over_L,L_raft,omega,d,rho_raft,q_w0_re,q_w0_im,Q_w0_re,Q_w0_im,F_w0_re,F_w0_im,q_w1_re,q_w1_im,Q_w1_re,Q_w1_im,F_w1_re,F_w1_im,q_w2_re,q_w2_im,Q_w2_re,Q_w2_im,F_w2_re,F_w2_im,q_w3_re,q_w3_im,Q_w3_re,Q_w3_im,F_w3_re,F_w3_im,q_w4_re,q_w4_im,Q_w4_re,Q_w4_im,F_w4_re,F_w4_im,q_w5_re,q_w5_im,Q_w5_re,Q_w5_im,F_w5_re,F_w5_im,q_w6_re,q_w6_im,Q_w6_re,Q_w6_im,F_w6_re,F_w6_im,q_w7_re,q_w7_im,Q_w7_re,Q_w7_im,F_w7_re,F_w7_im
-2.0,0.2722222222222222,0.05,502.6548245743669,0.03,0.052,6.210557604943425e-7,2.401260579048156e-8,-1.6353594842721697,0.00012360816258086377,0.8665954628259427,0.0,0.0003090964595631879,3.3834135836167586e-5,-103.45264550260441,0.34244226116586624,8.784468680916197,0.0,2.0957967233789583e-6,8.283498834970098e-8,-1.6757109021891712,-0.06605589581818039,0.10779458253390758,0.0,2.416940616290444e-7,-3.037068845696997e-8,1.5699389480400088,0.18479521431020762,-0.0156915673897703,0.0,-1.5882592094009492e-7,-1.0087229077176398e-10,0.08330357313521503,0.0024187756674920948,0.006015224144993699,0.0,2.9113953706307277e-8,-5.552440711546513e-10,0.32338525204561014,0.035521719157299854,-0.0026592955244070012,0.0,6.267954582120825e-10,-5.073231890573552e-12,0.02232589869683089,0.0007332149347775658,0.0014056618311843205,0.0,-7.128386586940428e-9,-4.7001990926557036e-11,0.11476819676139322,0.013072826131974321,-0.000886571122672837,0.0
-2.0,0.2771717171717171,0.05,502.6548245743669,0.03,0.052,5.806119171485895e-7,2.1964539176416823e-8,-1.6358795112745135,0.00010937881862714712,0.8646068693552093,0.0,0.0003142119792933545,3.4383026041170033e-5,-105.33995967134007,0.3479679510262447,8.92224914990758,0.0,2.299345238582736e-6,7.576988364750315e-8,-1.7103587084372218,-0.06053441331469886,0.1068886540557651,0.0,2.1727236166020795e-7,-3.086339125518804e-8,1.6019102954705953,0.18780148297080254,-0.015906981517209273,0.0,-1.5989781076288014e-7,-9.226876097311596e-11,0.10000977262685382,0.002216777304686405,0.005986133770260538,0.0,3.1761437195941974e-8,-5.642517796446082e-10,0.3279058374557021,0.03609734682544586,-0.002696684485255294,0.0,-1.2634321100162894e-9,-4.640529355536573e-12,0.027439369567312435,0.0006712186326079258,0.0014000785207547654,0.0,-6.370857018314522e-9,-4.7764502866224804e-11,0.1163602509075511,0.013284649236564144,-0.0008991153144990825,0.0
-2.0,0.2821212121212121,0.05,502.6548245743669,0.03,0.052,5.397531005146618e-7,1.989474568002031e-8,-1.6364048367140027,9.499438073813661e-5,0.8625870734758827,0.0,0.00031930803308452023,3.492928587701034e-5,-107.22744840251106,0.35346567514384103,9.058899902765052,0.0,2.5049373521606867e-6,6.862982889055879e-8,-1.7453091954337505,-0.054954322186539714,0.10597040183864605,0.0,1.9180376975239348e-7,-3.135373294407438e-8,1.6339938717541966,0.19079368765714216,-0.01611888339311909,0.0,-1.6042927745814314e-7,-8.3573960656057e-11,0.11681972774668316,0.0020124736522115646,0.005956555685530587,0.0,3.4201059759049007e-8,-5.732163218528748e-10,0.3323977491534305,0.03667027343389317,-0.00273351911138121,0.0,-3.1358249051304247e-9,-4.203236310190353e-12,0.03260854699811705,0.0006085534933845432,0.0013943939958881671,0.0,-5.556690469826165e-9,-4.85233607771656e-11,0.11793122831096983,0.013495439514515066,-0.0009114784109971538,0.0
-2.0,0.2870707070707071,0.05,502.6548245743669,0.03,0.052,4.98493609739678e-7,1.7803926500779303e-8,-1.6369352585708938,8.045958742406952e-5,0.8605363122379669,0.0,0.00032438480626428975,3.5472935748048893e-5,-109.11507313943348,0.3589356403359588,9.194405626124386,0.0,2.71250044804526e-6,6.141724297698231e-8,-1.7805493380814834,-0.04931751197428306,0.10504002508846678,0.0,1.6530775225532912e-7,-3.184173183747688e-8,1.6661861775658011,0.19377193412700486,-0.016327233051517048,0.0,-1.6041614392537276e-7,-7.47908356715701e-11,0.13372720333041452,0.001805932747670918,0.005926492068305814,0.0,3.641856284828464e-8,-5.821380323243245e-10,0.3368626763182859,0.03724052460615833,-0.0027697927910170657,0.0,-4.9760265652125905e-9,-3.761501337294928e-12,0.037830927099249685,0.0005452367083781835,0.0013886083198433401,0.0,-4.694710641501969e-9,-4.927859281915643e-11,0.11948165860308474,0.01370520744519514,-0.0009236582260373471,0.0
-2.0,0.292020202020202,0.05,502.6548245743669,0.03,0.052,4.5684806479732374e-7,1.56928002117972e-8,-1.6374705630073327,6.577930466259697e-5,0.8584548259495778,0.0,0.0003294424680789858,3.601399492753535e-5,-111.00278019028924,0.3643780437172804,9.328751246911224,0.0,2.9219603861490048e-6,5.4134604719417714e-8,-1.816065960758735,-0.043625919107408484,0.10409772525880866,0.0,1.3780517823300534e-7,-3.232740523735204e-8,1.698483351658513,0.19673632154644144,-0.01653199162057911,0.0,-1.59855694866794e-7,-6.592240448160342e-11,0.15072601352472628,0.0015972247741268437,0.005895945152421293,0.0,3.840067131542889e-8,-5.910172277045222e-10,0.3413022446751922,0.037808124488649654,-0.0028054990720085445,0.0,-6.769851935355806e-9,-3.3154758987942146e-12,0.04310396364774094,0.0004812860496166768,0.0013827215648408212,0.0,-3.794270322305249e-9,-5.003022600068658e-11,0.12101210553511804,0.013913963226779406,-0.0009356526244925611,0.0
-2.0,0.29696969696969694,0.05,502.6548245743669,0.03,0.052,4.148315257998926e-7,1.3562108941565527e-8,-1.6380105200228325,5.0958569368383084e-5,0.8563428581307003,0.0,0.00033448115737413946,3.655248006907478e-5,-112.89049528026739,0.3697930577245747,9.461921935058681,0.0,3.1332408984167612e-6,4.678447420795695e-8,-1.8518456375806354,-0.037881543591835994,0.10314370598998315,0.0,1.0931839522821274e-7,-3.2810768091425614e-8,1.7308810823499667,0.1996869343315356,-0.01673312133234786,0.0,-1.5874670503398114e-7,-5.697178428206924e-11,0.16780997477545292,0.0013864226809590814,0.005864917228729584,0.0,4.013516384565379e-8,-5.998541811758075e-10,0.3457179985071153,0.03837309416644112,-0.002840631663365648,0.0,-8.503390620774597e-9,-2.865316849628794e-12,0.04842505842164867,0.00041672008969464416,0.0013767338123973592,0.0,-2.8651573378624104e-9,-5.0778283388085765e-11,0.1225231591243065,0.014121716173326058,-0.0009474595227448891,0.0
-2.0,0.3019191919191919,0.05,502.6548245743669,0.03,0.052,3.7245965151905707e-7,1.141262659551908e-8,-1.638554877752466,3.600264748076587e-5,0.8542006554664074,0.0,0.00033950096420929944,3.708840329050148e-5,-114.7781164843785,0.375180811082143,9.593903106153961,0.0,3.346262784854901e-6,3.936952113636867e-8,-1.8878745586540342,-0.03208647116170365,0.10217817304756181,0.0,7.987134144501398e-8,-3.329183127782462e-8,1.7633744901445967,0.20262383164844677,-0.016930585532003148,0.0,-1.5708947380628278e-7,-4.79422269241581e-11,0.18497284320579965,0.001173603004664222,0.005833410645778577,0.0,4.161094299353064e-8,-6.08649091386013e-10,0.35011137938823766,0.03893544963093525,-0.0028751844367555296,0.0,-1.0163110607125097e-8,-2.4111878985443337e-12,0.053791546473263,0.00035155848284538143,0.0013706451536589046,0.0,-1.9174951103069167e-9,-5.1522781618461124e-11,0.12401542649318635,0.01432847394555367,-0.000959076889174004,0.0
-2.0,0.3068686868686869,0.05,502.6548245743669,0.03,0.052,3.2974890531710753e-7,9.245169508384664e-9,-1.6391033551753311,2.0917110082436568e-5,0.8520284677595407,0.0,0.00034450190659194424,3.762176974905367e-5,-116.66550521374793,0.3805413645906604,9.724680424013288,0.0,3.560942868469698e-6,3.189256157017923e-8,-1.9241383554412974,-0.02624290201155218,0.10120133426038917,0.0,4.948970236823351e-8,-3.377059942576326e-8,1.7959579756583548,0.2055470341164511,-0.017124348686695903,0.0,-1.548858686893579e-7,-3.8837160802145604e-11,0.2022082334106645,0.0009588469345244102,0.005801427810479523,0.0,4.281810584444783e-8,-6.174020433614983e-10,0.35448370097051224,0.039495199212340855,-0.0029091514279352935,0.0,-1.1735961889610206e-8,-1.9532611165598165e-12,0.059200675336676126,0.00028582232114727157,0.001364455689734065,0.0,-9.616384203234768e-10,-5.226372820235335e-11,0.12548952123783977,0.014534241583217112,-0.0009705027446277235,0.0
-2.0,0.3118181818181818,0.05,502.6548245743669,0.03,0.052,2.867168170687426e-7,7.0606099667106375e-9,-1.639655632908616,5.707927662983252e-6,0.8498265478828779,0.0,0.0003494839014715877,3.815257462317775e-5,-118.5524749278221,0.38587468089323085,9.85423980318477,0.0,3.7771926669574673e-6,2.4356604591252258e-8,-1.9606218784373421,-0.020353187255482706,0.1002133994581122,0.0,1.8201120284892104e-8,-3.424706820686179e-8,1.828625026543835,0.20845650725579076,-0.017314376393940185,0.0,-1.5213938034373138e-7,-2.966025070987745e-11,0.21950951537543995,0.0007422416649707821,0.005768971188765299,0.0,4.374801654631975e-8,-6.261129576593257e-10,0.35883611897593054,0.04005234038887981,-0.0029425268381284902,0.0,-1.3209480270461477e-8,-1.491721152151467e-12,0.06464957704585182,0.00021953457805108808,0.0013581655320256377,0.0,-8.064933201930608e-12,-5.300111616728524e-11,0.1269460511161567,0.01473902030720399,-0.0009817351628729845,0.0
-2.0,0.31676767676767675,0.05,502.6548245743669,0.03,0.052,2.43382307915524e-7,4.8598929796277426e-9,-1.6402113418934248,-9.61841051658124e-6,0.8475951517307874,0.0,0.0003544467293417085,3.868079942531337e-5,-120.43877727034572,0.3911805877819844,9.982567411378318,0.0,3.9949167441688385e-6,1.676491014749273e-8,-1.9973089205769805,-0.014419874143905493,0.0992145804082395,0.0,-1.3964535412529752e-8,-3.47212210263539e-8,1.8613679784680193,0.2113521412618044,-0.017500635389563344,0.0,-1.4885519201956252e-7,-2.0415466167144602e-11,0.23686968707583306,0.0005238820722254207,0.005736043306238858,0.0,4.439338185403372e-8,-6.34781531167244e-10,0.3631695958908998,0.04060685589260556,-0.0029753050353388327,0.0,-1.4571891403533396e-8,-1.0267674750289681e-12,0.07013523208900922,0.00015272065116236376,0.001351774802561275,0.0,9.327370097007634e-10,-5.373492006672391e-11,0.12838560395357942,0.014942806062189609,-0.0009927722710298466,0.0
-2.0,0.3217171717171717,0.05,502.6548245743669,0.03,0.052,1.9976608467232105e-7,2.6440566191469376e-9,-1.640770049721384,-2.5054753552771734e-5,0.8453345381703976,0.0,0.00035938999178710925,3.920640758667125e-5,-122.32408539157467,0.39645873404785914,10.109649671822426,0.0,4.214010709411324e-6,9.121059219007089e-9,-2.0341818815327755,-0.008445760905969506,0.09820509075276256,0.0,-4.697483040996449e-8,-3.519302505843353e-8,1.8941777251718495,0.2142337267807277,-0.01768309355521079,0.0,-1.4504026559179822e-7,-1.1107168185447697e-11,0.2542812201445373,0.00030387274874033856,0.00570264674880939,0.0,4.4748330945077816e-8,-6.43407163397522e-10,0.36748485966472155,0.04115870904923111,-0.0030074805556071452,0.0,-1.5812215407398064e-8,-5.586195835562591e-13,0.07565442443397631,8.540901410310403e-5,0.00134528363432187,0.0,1.8503838363537377e-9,-5.44650888066457e-11,0.12980873159292405,0.01514558777684594,-0.0010036122499859808,0.0
-2.0,0.32666666666666666,0.05,502.6548245743669,0.03,0.052,1.558911063795721e-7,4.142560962449718e-10,-1.6413312445270634,-4.0593118443718e-5,0.843044968992275,0.0,0.00036431306177048863,3.972933928532706e-5,-124.20797433148387,0.4017085379262571,10.235473265546846,0.0,4.434358849105344e-6,1.4290368726169879e-9,-2.0712213698920894,-0.002433961664790845,0.09718514594436038,0.0,-8.079435630972241e-8,-3.566242660541932e-8,1.9270433758716257,0.21710092653101096,-0.017861719925402694,0.0,-1.4070344615765648e-7,-1.7402097601065458e-12,0.2717358778300604,8.233041258670874e-5,0.005668784163317153,0.0,4.4808500407985834e-8,-6.519888726772923e-10,0.37178235628722867,0.041707838322014926,-0.003039048104206703,0.0,-1.6920372113335246e-8,-8.752157631984741e-14,0.08120368726879997,1.7631983005092975e-5,0.0013386921715695095,0.0,2.734714924214595e-9,-5.5191539333620516e-11,0.13121593190700037,0.015347345331175153,-0.0010142533347918788,0.0
-2.0,0.3316161616161616,0.05,502.6548245743669,0.03,0.052,1.1178312314736109e-7,-1.8282084643968279e-9,-1.6418943165064992,-5.6224494318164305e-5,0.8407267088606438,0.0,0.0003692150267102968,4.024950553336749e-5,-126.08989851068604,0.4069291281232924,10.360025133591122,0.0,4.655831393956296e-6,-6.3066719182978906e-9,-2.1084057443471482,0.003612018671914023,0.09615496318221214,0.0,-1.1538425000206397e-7,-3.612934578844652e-8,1.959951860200876,0.21995324285406448,-0.018036484694145354,0.0,-1.3585558559411997e-7,7.679948403752473e-12,0.2892245053262145,-0.000140613312494214,0.005634458258144959,0.0,4.457112491449295e-8,-6.605251994159336e-10,0.37606219623049164,0.04225415107595296,-0.0030700025567776622,0.0,-1.788728702762352e-8,3.86252357744306e-13,0.08677923952945946,-5.057340395967192e-5,0.001332000570171466,0.0,3.5759129354021147e-9,-5.591414850578622e-11,0.132607628920941,0.015548047236880596,-0.001024693815038411,0.0
-2.0,0.3365656565656565,0.05,502.6548245743669,0.03,0.052,6.747127962319721e-8,-4.081860877220305e-9,-1.6424585372051335,-7.193862406822527e-5,0.8383800252631425,0.0,0.00037409462514400243,4.0766781599068327e-5,-127.96916660681069,0.4121192780140461,10.483292479138155,0.0,4.878281456009714e-6,-1.4080974839808968e-8,-2.145710599171036,0.009688200437563207,0.0951147613474404,0.0,-1.507016472352925e-7,-3.6593670644071006e-8,1.9928874860466677,0.22278998161327515,-0.01820735922108968,0.0,-1.305096843794596e-7,1.7147104121530686e-11,0.3067367953738176,-0.00036480877859711315,0.00559967180381612,0.0,4.403513334353292e-8,-6.690140955430505e-10,0.3803240954757275,0.04279751664134972,-0.0031003389604027415,0.0,-1.8704997658572626e-8,8.623897471295691e-13,0.09237691401641283,-0.00011916440406391691,0.0013252089979238857,0.0,4.36462561120947e-9,-5.6632742357540123e-11,0.1339841512905153,0.015747648060143404,-0.0010349320352145927,0.0
-2.0,0.34151515151515155,0.05,502.6548245743669,0.03,0.052,2.298877031870485e-8,-6.34501510391831e-9,-1.643023037199505,-8.772376336662417e-5,0.8360051884601424,0.0,0.00037895017838693014,4.128099991762149e-5,-129.84491440065105,0.4172773352287727,10.605262769572539,0.0,5.101541705376942e-6,-2.1888055654857e-8,-2.183108206415294,0.01579003808791758,0.09406476093821366,0.0,-1.8669908314458406e-7,-3.7055250760178934e-8,2.0258314602392518,0.22561021328244582,-0.018374316037239335,0.0,-1.246810482292355e-7,2.6654175192700182e-11,0.3242610342449675,-0.0005900849296941199,0.005564427633577651,0.0,4.320124904958683e-8,-6.774528116930068e-10,0.38456731233317315,0.043337758840491035,-0.0031300525346199385,0.0,-1.9366759456523508e-8,1.3405346777437207e-12,0.0979920788643458,-0.00018809150689558146,0.0013183176348707294,0.0,5.0920880061381534e-9,-5.73470884851894e-11,0.13534570955034284,0.015946085647329973,-0.0010449663950464034,0.0
-2.0,0.3464646464646465,0.05,502.6548245743669,0.03,0.052,-2.1626476586021406e-8,-8.615739934097279e-9,-1.6435867827745176,-0.00010356643398105467,0.8336024714336389,0.0,0.0003837795195293375,4.179194273205508e-5,-131.71607650342364,0.4224011480233352,10.725923738463198,0.0,5.325420900272611e-6,-2.9721252373064306e-8,-2.2205669332734095,0.02191232497624645,0.09300518400452928,0.0,-2.233238611440221e-7,-3.7513890671399235e-8,2.0587613888608196,0.22841273255045327,-0.01853732885020856,0.0,-1.1838745413426001e-7,3.6193049147288984e-11,0.34178383694064607,-0.0008162457636933361,0.005528728643968098,0.0,4.207209175868972e-8,-6.858377747745362e-10,0.38879058223212865,0.04387464822878654,-0.003159138672375301,0.0,-1.9867149899985483e-8,1.8202793506863168e-12,0.10361955512374048,-0.0002572973246847089,0.0013113266736215021,0.0,5.750243900338865e-9,-5.8056884490196435e-11,0.13669237281785068,0.0161432782459108,-0.0010547953498166996,0.0
-2.0,0.3514141414141414,0.05,502.6548245743669,0.03,0.052,-6.63311176640627e-8,-1.0891823793606523e-8,-1.6441485528129527,-0.00011945117343813861,0.8311721498357229,0.0,0.00038857992296756,4.2299334802316536e-5,-133.5813582758567,0.4274879927777635,10.84526338746994,0.0,5.5497004309014875e-6,-3.7572935843530404e-8,-2.2580506622384715,0.028049098460199626,0.09193625408270484,0.0,-2.605174210013599e-7,-3.7969343311029586e-8,2.091650780146612,0.23119601829856024,-0.018696372549024353,0.0,-1.1164931665870477e-7,4.575443515839905e-11,0.359289883407899,-0.0010430668069250667,0.00549257779536977,0.0,4.065227701302775e-8,-6.941644670334654e-10,0.3929920532781194,0.044407894409691895,-0.003187592940914161,0.0,-2.0202168547574016e-8,2.3011559029907627e-12,0.10925353441364617,-0.00032671548838328796,0.0013042363196649552,0.0,6.331864527539971e-9,-5.876174768591201e-11,0.13802404582846128,0.016339121653170675,-0.0010644174106658902,0.0
