branch_index,edge_source,sweep_file,iteration,target_log10_EI,sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_beam,sa_ratio_beam
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.3489048025314965,21,31,4.478114538111768e-5,-4.3489048025314965,0.14205307605007894,0.007102653802503947,502.6548245743669,Inf,-0.024897967434247745,0.024897967434247745,1.2898396842174e-5,0.000322305358872401,7.33246517602622e-5,7.997543978923933e-6,7.37595096611857e-5,6.224663845000589,-7.226321891752776e-5,-8.278780659359733e-6,7.273589909754557e-5,-173.4644462190512,-0.013973961359690572,-2.1251967068789077
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.309104358079818,22,33,4.907899284217168e-5,-4.309104358079818,0.1441733138727535,0.0072086656936376755,502.6548245743669,Inf,-0.0265010450385458,0.0265010450385458,1.099553402061576e-5,0.0003223053492946301,7.375383075531629e-5,8.720061227331916e-6,7.42675367767927e-5,6.742890387878519,-7.402095223741289e-5,-8.843298307675133e-6,7.454733593557781e-5,-173.187152593733,0.003760352235961867,-2.704034638813299
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.2693297563590304,23,35,5.378612336589212e-5,-4.2693297563590304,0.14673627203523731,0.007336813601761866,502.6548245743669,Inf,-0.02880572685341695,0.02880572685341695,1.2502272222477477e-5,0.0003223053623968823,7.554509790316501e-5,9.573043345072368e-6,7.614922833545603e-5,7.222004841703912,-7.592125476013682e-5,-9.622692672684275e-6,7.65286426027963e-5,-172.77652237976147,0.004970097132402316,-2.6046566290598743
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.229564974662463,24,37,5.894337854630446e-5,-4.229564974662463,0.14944953452552232,0.007472476726276116,502.6548245743669,Inf,-0.032031098450747704,0.032031098450747704,1.4946793705306397e-5,0.0003223053639621616,7.83042596435853e-5,1.0660156862361536e-5,7.902655264314758e-5,7.752453203283304,-7.858933360023774e-5,-1.0644486006448577e-5,7.930692553661966e-5,-172.28654658079543,0.0035415379937192367,-2.7439599904544028
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.189812916767608,25,39,6.459324206899452e-5,-4.189812916767608,0.1523417185914065,0.007617085929570325,502.6548245743669,Inf,-0.03653684598378299,0.03653684598378299,1.851625180827078e-5,0.0003223053543788561,8.220589994001528e-5,1.2084517459332167e-5,8.308938287875719e-5,8.362757774938448,-8.222234855421156e-5,-1.2001278724667472e-5,8.30935935725337e-5,-171.6956773688451,5.067539243446603e-5,-3.291943034487079
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.1500595520509,26,41,7.078487149192156e-5,-4.1500595520509,0.15521297229611758,0.007760648614805879,502.6548245743669,Inf,-0.04293293132824949,0.04293293132824949,2.2391306901178265e-5,0.00032230535711915814,8.738596133793573e-5,1.4005382982389379e-5,8.85011694354295e-5,9.105382349613075,-8.727501957550495e-5,-1.385401969635044e-5,8.8367770729218e-5,-170.98013839295177,-0.0015084460867251341,-2.974263441567728
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.11027930570117,27,43,7.757480530874628e-5,-4.11027930570117,0.1576880990712385,0.007884404953561927,502.6548245743669,Inf,-0.05230934344546393,0.05230934344546393,2.5064387751682067e-5,0.0003223053746538601,9.41285214206854e-5,1.669009909507156e-5,9.559674655890618e-5,10.054716209062569,-9.44235368530664e-5,-1.648729456163744e-5,9.585215278648982e-5,-170.09543682427994,0.0026681351932591633,-2.7281698401769714
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.070525371755659,28,45,8.501090278348268e-5,-4.070525371755659,0.16054445991731736,0.008027222995865868,502.6548245743669,Inf,-0.06655350014440821,0.06655350014440821,3.090974014436932e-5,0.0003223053450019828,0.00010365563143622146,2.0624267409769337e-5,0.00010568751267123026,11.253126636846925,-0.00010388305790598706,-2.0356695132233804e-5,0.00010585879631190491,-168.91293310271394,0.00161934783177431,-2.7798922479444217
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-4.030809461524477,29,47,9.31516471032073e-5,-4.030809461524477,0.16389744265421327,0.008194872132710664,502.6548245743669,Inf,-0.08948373451020905,0.08948373451020905,4.160823864507892e-5,0.00032230533097212113,0.00011719716784213737,2.6749516450535025e-5,0.00012021111754141362,12.85715571638974,-0.00011688091080403303,-2.639229024362929e-5,0.00011982362160560952,-167.2757252328155,-0.0032286570464101464,-2.70165993900476
1,beam,sweep_motor_position_EI_coupled_from_matlab.jld2,1,-3.9910998258111796,30,49,0.00010207048401554762,-3.9910998258111796,0.16732184624433066,0.008366092312216534,502.6548245743669,Inf,-0.1297937730338899,0.1297937730338899,5.6898714331459804e-5,0.00032230535766467744,0.00013675980979486102,3.713439240525296e-5,0.00014171170972941466,15.191250271425584,-0.000135910774588759,-3.668025567615955e-5,0.00014077350534026244,-164.89657569048572,-0.0066424293389952685,-2.467432081728137
