branch_index,edge_source,sweep_file,iteration,target_log10_EI,sample_index,curve_point_index,EI,log10_EI,xM_over_L,motor_position,omega,U,power,power_input,thrust,tail_flat_ratio,eta_left_beam_re,eta_left_beam_im,eta_left_beam_abs,eta_left_beam_phase_deg,eta_right_beam_re,eta_right_beam_im,eta_right_beam_abs,eta_right_beam_phase_deg,alpha_beam,sa_ratio_beam
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.898533921700611,11,10,1.2631824358028988e-5,-4.898533921700611,0.1746781086824471,0.008733905434122355,502.6548245743669,NaN,3.872929647599448e-10,-3.872929647599448e-10,-0.0,0.0003223053789674404,0.0006442354191716754,-1.5568950065013965e-14,0.0006442354191716754,-1.3846415512549146e-9,-0.0006328371782569557,3.9996923081103647e-14,0.0006328371782569557,179.99999999637876,-0.017849154413559856,-2.0493777541556852
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.878608828326473,12,11,1.3224862693026142e-5,-4.878608828326473,0.17679783370919608,0.008839891685459804,502.6548245743669,NaN,-2.243377143912501e-10,2.243377143912501e-10,-0.0,0.0003223053790143814,0.0006965006794005867,1.1071653656531395e-14,0.0006965006794005867,9.107801980836088e-10,-0.0006812453008926177,-2.463444628226332e-14,0.0006812453008926177,-179.99999999792814,-0.0221427005731995,-1.9557461650181451
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.858674100253814,13,12,1.3846050132964123e-5,-4.858674100253814,0.17882490280003255,0.008941245140001627,502.6548245743669,NaN,5.002437337298306e-10,-5.002437337298306e-10,-0.0,0.00032230537894502146,0.00075996069670048,-2.560834166724225e-14,0.00075996069670048,-1.930691816343065e-9,-0.0007417129347230659,4.8879029506403534e-14,0.0007417129347230659,179.9999999962242,-0.02429964473822932,-1.9153659474590738
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.838726396435512,14,13,1.4496848608420974e-5,-4.838726396435512,0.18071994769732816,0.009035997384866408,502.6548245743669,NaN,-4.065745378638069e-10,4.065745378638069e-10,-0.0,0.00032230537894351963,0.0008386241039038622,1.8979636761462785e-14,0.0008386241039038622,1.296710979401835e-9,-0.0008183952130385095,-4.4346909272749254e-14,0.0008183952130385095,-179.9999999968953,-0.02441236054401127,-1.9133554999111138
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.818763592151879,15,14,1.5178763973973904e-5,-4.818763592151879,0.1824485698612836,0.00912242849306418,502.6548245743669,NaN,7.613151497068811e-10,-7.613151497068811e-10,-0.0,0.0003223053789682707,0.0009386970844463398,-3.857434007767345e-14,0.0009386970844463398,-2.3544835928159044e-9,-0.0009175999945974745,7.746025030356727e-14,0.0009175999945974745,179.9999999951633,-0.02272735910659422,-1.9444249288266582
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.798782498192913,16,15,1.58934251814194e-5,-4.798782498192913,0.1839507909471861,0.009197539547359307,502.6548245743669,NaN,-7.58499757819718e-10,7.58499757819718e-10,0.0,0.0003223053789596549,0.0010701860571380162,4.3159331883467835e-14,0.0010701860571380162,2.3106706978973537e-9,-0.0010495950225550576,-7.563965195235917e-14,0.0010495950225550576,-179.99999999587095,-0.01942567754228256,-2.012612843493137
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.778784627104635,17,16,1.6642377652633515e-5,-4.778784627104635,0.18521001317094454,0.009260500658547227,502.6548245743669,NaN,-2.3457621895390857e-10,2.3457621895390857e-10,0.0,0.00032230537893878334,0.0012505431655648771,1.0495717228595246e-14,0.0012505431655648771,4.808792824753195e-10,-0.0012318068224892523,-2.0466089658938055e-14,0.0012318068224892523,-179.99999999904804,-0.015094789875303743,-2.122178182887652
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.758769656501336,18,17,1.7427309475481277e-5,-4.758769656501336,0.18615871673954756,0.009307935836977378,502.6548245743669,NaN,-7.189150362845337e-10,7.189150362845337e-10,0.0,0.00032230537898075243,0.001512629641590284,5.2049412588178094e-14,0.001512629641590284,1.971541205752383e-9,-0.0014973925729235937,-7.880116810833918e-14,0.0014973925729235937,-179.99999999698477,-0.010123963971910194,-2.2956682760536506
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.738740748835997,19,18,1.8249847980004992e-5,-4.738740748835997,0.18674243615644096,0.009337121807822047,502.6548245743669,NaN,-2.6991684582205017e-10,2.6991684582205017e-10,0.0,0.0003223053789019859,0.0019270239542078333,2.2984461303269003e-14,0.0019270239542078333,6.833919340667636e-10,-0.0019171334061844785,-3.124020499416001e-14,0.0019171334061844785,-179.99999999906638,-0.005145722000466994,-2.589580801185575
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.7187037201608835,20,19,1.9111566232143086e-5,-4.7187037201608835,0.1868538559320249,0.009342692796601245,502.6548245743669,NaN,9.488027747477173e-10,-9.488027747477173e-10,0.0,0.00032230537899018786,0.002677312824112959,-8.38226570139831e-14,0.002677312824112959,-1.7938450939385884e-9,-0.002675113651825055,1.1038563883841074e-13,0.002675113651825055,179.99999999763574,-0.0008217476415723418,-3.3862914560236064
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.698673746499227,21,20,2.001364783203924e-5,-4.698673746499227,0.1863163063311175,0.009315815316555875,502.6548245743669,NaN,1.1112694451282731e-9,-1.1112694451282731e-9,0.0,0.0003223053788886414,0.004436925900625401,-1.0340886845810945e-13,0.004436925900625401,-1.33535962952143e-9,-0.0044456125886902535,1.2151055284925918e-13,0.0044456125886902535,179.99999999843396,0.001955900279511871,-3.009682871556691
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.678701544067114,22,21,2.0955520668020785e-5,-4.678701544067114,0.18471084246834626,0.009235542123417314,502.6548245743669,NaN,2.426937569490868e-8,-2.426937569490868e-8,0.0,0.0003223053788981448,0.013238870590947869,-2.7742975887465432e-12,0.013238870590947869,-1.2006729868421281e-8,-0.013263729517886541,2.8846686716144763e-12,0.013263729517886541,179.99999998753898,0.0018759597145585928,-3.027806105715623
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.663361787857001,23,22,2.1708919696388012e-5,-4.663361787857001,0.19729824066734436,0.009864912033367219,502.6548245743669,NaN,2.424729155116508e-9,-2.424729155116508e-9,-0.0,0.00032230537881313646,-0.0246243152544278,-3.793799491654495e-13,0.0246243152544278,-179.99999999911725,0.02466172729041716,3.361191943794787e-13,0.02466172729041716,7.808946642096987e-10,0.0015181585901705035,-3.1197126041409664
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.648182379314085,24,22,2.2481103273819073e-5,-4.648182379314085,0.21037830946908567,0.010518915473454285,502.6548245743669,NaN,-1.2716188984001771e-9,1.2716188984001771e-9,-0.0,0.00032230537882826015,-0.006293708282891192,1.8022427412628794e-13,0.006293708282891192,179.99999999835933,0.006395272551148855,-1.680951333130408e-13,0.006395272551148855,-1.5059783017060022e-9,0.016007237015242492,-2.096685797513692
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.631561035797914,25,23,2.335817803039235e-5,-4.631561035797914,0.21763986064458857,0.010881993032229429,502.6548245743669,NaN,-6.151325689782115e-10,6.151325689782115e-10,-0.0,0.0003223053787396427,-0.0034064652068503867,8.732387044813383e-14,0.0034064652068503867,179.99999999853125,0.0035395280746327532,-7.426651265812434e-14,0.0035395280746327532,-1.2021822245065615e-9,0.03829950551268955,-1.7176774797404253
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.612053833045183,26,24,2.4431276956216472e-5,-4.612053833045183,0.21306290786618082,0.01065314539330904,502.6548245743669,NaN,-6.617192125959865e-10,6.617192125959865e-10,-0.0,0.0003223053785105158,-0.002245973679363227,1.3729347082058027e-13,0.002245973679363227,179.9999999964976,0.0023463126324044653,-1.0238975548095113e-13,0.0023463126324044653,-2.5003065548102548e-9,0.04367805811997741,-1.6605593916694799
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.592599007158112,27,25,2.5550593516352562e-5,-4.592599007158112,0.2082657858279599,0.010413289291397995,502.6548245743669,NaN,2.4954364287901224e-10,-2.4954364287901224e-10,-0.0,0.00032230537717321275,-0.0016852216576664324,-5.697999509577728e-14,0.0016852216576664324,-179.99999999806275,0.0017525561772414686,3.325751574087352e-14,0.0017525561772414686,1.0872777225556578e-9,0.03915825904664805,-1.7080400413199943
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.573062738678288,28,26,2.6726202909860824e-5,-4.573062738678288,0.2038655573322043,0.010193277866610215,502.6548245743669,NaN,-6.338590919103502e-12,6.338590919103502e-12,-0.0,0.00032230537965518,-0.0013531038004426742,-1.8977041955468866e-14,0.0013531038004426742,-179.99999999919643,0.0013902406437409003,9.347460241503394e-15,0.0013902406437409003,3.852354794946537e-10,0.027069177706879544,-1.8684753543152492
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.553239817056232,29,27,2.797436151108051e-5,-4.553239817056232,0.2010296842338229,0.010051484211691145,502.6548245743669,NaN,-1.7104456837459196e-10,1.7104456837459196e-10,-0.0,0.0003223053793428619,-0.001129583561858909,5.6752169200874915e-14,0.001129583561858909,179.99999999712136,0.001145036489714179,-3.499744640071139e-14,0.001145036489714179,-1.751215782648648e-9,0.013586633664052116,-2.167898086260846
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.533250945469678,30,28,2.9292001960390773e-5,-4.533250945469678,0.1997065116683082,0.00998532558341541,502.6548245743669,NaN,6.040580981251995e-11,-6.040580981251995e-11,-0.0,0.00032230537921515206,-0.0009693641353505241,-3.932357266406788e-14,0.0009693641353505241,-179.99999999767573,0.0009710810530303873,1.743944749246267e-14,0.0009710810530303873,1.0289632726742636e-9,0.0017696107532450148,-3.053151906989558
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.513218923691044,31,29,3.067475313649738e-5,-4.513218923691044,0.19933949355436692,0.009966974677718347,502.6548245743669,NaN,4.2691387210071663e-11,-4.2691387210071663e-11,-0.0,0.0003223053791802555,-0.0008498724833642988,5.160337520840275e-16,0.0008498724833642988,179.9999999999652,0.0008427867368652623,1.3332627733120266e-15,0.0008427867368652623,9.064016619058302e-11,-0.008372178222548668,-2.3781839203745876
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.493184528839638,32,30,3.2122953656780066e-5,-4.493184528839638,0.19961799674514935,0.009980899837257468,502.6548245743669,NaN,-6.435395895820846e-11,6.435395895820846e-11,-0.0,0.00032230537911884043,-0.0007576272351653857,2.4402660832218395e-14,0.0007576272351653857,179.99999999815455,0.0007449961613219988,-7.552011378596138e-15,0.0007449961613219988,-5.808061857131023e-10,-0.016810840841009565,-2.075409872601867
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.473162421766651,33,31,3.36385740965045e-5,-4.473162421766651,0.2003841203913863,0.010019206019569316,502.6548245743669,NaN,2.4497742352776005e-11,-2.4497742352776005e-11,-0.0,0.00032230537912680373,-0.0006843118028314633,1.3204627850138065e-14,0.0006843118028314633,179.99999999889442,0.0006685386973572441,-3.4944930589941826e-15,0.0006685386973572441,-2.994885780129146e-10,-0.0233151580740402,-1.9333325991125798
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.453159370510895,34,32,3.5224158728355675e-5,-4.453159370510895,0.20154864278117843,0.010077432139058921,502.6548245743669,NaN,-7.80932196804125e-13,7.80932196804125e-13,-0.0,0.00032230537913848856,-0.0006245965546222438,-1.0132059089170158e-14,0.0006245965546222438,-179.99999999907055,0.0006076071624755113,4.374013783444683e-15,0.0006076071624755113,4.1245815520407093e-10,-0.027570381062779488,-1.860504673778214
1,beam,sweep_motor_position_EI_uncoupled_from_matlab.jld2,1,-4.433179223811927,35,33,3.688253610187859e-5,-4.433179223811927,0.20305884104101107,0.010152942052050555,502.6548245743669,NaN,-1.611458730417865e-11,1.611458730417865e-11,-0.0,0.00032230537912748754,-0.0005749212122044468,5.333658401146067e-15,0.0005749212122044468,179.99999999946846,0.0005583684246914952,5.388286062996697e-16,0.0005583684246914952,5.529074291574559e-11,-0.02920569720568687,-1.8354697774021265
